"Projektname";"ProjektDevC003707-2018-07-26-Koza-Biofilm"
"Profilname";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x"

"LOT";""

"lfd. WellZeile";"lfd. WellSpalte";"Kavitätsbezeichnung";"lfd. Probenträger-Nr";"ID";"Name";"Vorname";"Geburtsdatum";"Geschlecht";"ModulName";"ModulKonfiguration";"Einzelergebnis-Anzahl";"(1) Ergebnisname";"(1) Ergebnis";"(1) Ereignisanzahl";"(1) Mittelwert";"(1) Standardabweichung";"(1) CV-Wert"
1;1;"A1";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
2;1;"B1";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6615318550;0;"n/a";"n/a";"n/a"
3;1;"C1";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6502837677;0;"n/a";"n/a";"n/a"
4;1;"D1";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6634004679;0;"n/a";"n/a";"n/a"
5;1;"E1";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,2579879601;0;"n/a";"n/a";"n/a"
6;1;"F1";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,2524524042;0;"n/a";"n/a";"n/a"
7;1;"G1";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,2585485061;0;"n/a";"n/a";"n/a"
8;1;"H1";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
1;2;"A2";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
2;2;"B2";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,5071358343;0;"n/a";"n/a";"n/a"
3;2;"C2";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6155466067;0;"n/a";"n/a";"n/a"
4;2;"D2";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,7085442866;0;"n/a";"n/a";"n/a"
5;2;"E2";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6345949457;0;"n/a";"n/a";"n/a"
6;2;"F2";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6396310609;0;"n/a";"n/a";"n/a"
7;2;"G2";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,5653499741;0;"n/a";"n/a";"n/a"
8;2;"H2";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
1;3;"A3";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
2;3;"B3";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,7048914017;0;"n/a";"n/a";"n/a"
3;3;"C3";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,7347461195;0;"n/a";"n/a";"n/a"
4;3;"D3";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6257682061;0;"n/a";"n/a";"n/a"
5;3;"E3";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,3133900373;0;"n/a";"n/a";"n/a"
6;3;"F3";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,3129203778;0;"n/a";"n/a";"n/a"
7;3;"G3";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,3034483571;0;"n/a";"n/a";"n/a"
8;3;"H3";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
1;4;"A4";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
2;4;"B4";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6552381587;0;"n/a";"n/a";"n/a"
3;4;"C4";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6572683178;0;"n/a";"n/a";"n/a"
4;4;"D4";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,7500311065;0;"n/a";"n/a";"n/a"
5;4;"E4";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,3348967825;0;"n/a";"n/a";"n/a"
6;4;"F4";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,3134270580;0;"n/a";"n/a";"n/a"
7;4;"G4";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,2939300427;0;"n/a";"n/a";"n/a"
8;4;"H4";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
1;5;"A5";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
2;5;"B5";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,8923646493;0;"n/a";"n/a";"n/a"
3;5;"C5";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6743506708;0;"n/a";"n/a";"n/a"
4;5;"D5";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6482042806;0;"n/a";"n/a";"n/a"
5;5;"E5";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,5377118833;0;"n/a";"n/a";"n/a"
6;5;"F5";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,5795315513;0;"n/a";"n/a";"n/a"
7;5;"G5";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,4586817915;0;"n/a";"n/a";"n/a"
8;5;"H5";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
1;6;"A6";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
2;6;"B6";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,7241449375;0;"n/a";"n/a";"n/a"
3;6;"C6";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,8518788371;0;"n/a";"n/a";"n/a"
4;6;"D6";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,9707000890;0;"n/a";"n/a";"n/a"
5;6;"E6";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,7626436454;0;"n/a";"n/a";"n/a"
6;6;"F6";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,7860406813;0;"n/a";"n/a";"n/a"
7;6;"G6";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,7673793359;0;"n/a";"n/a";"n/a"
8;6;"H6";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
1;7;"A7";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
2;7;"B7";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6658976522;0;"n/a";"n/a";"n/a"
3;7;"C7";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,8197295961;0;"n/a";"n/a";"n/a"
4;7;"D7";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,9772030951;0;"n/a";"n/a";"n/a"
5;7;"E7";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,4415521846;0;"n/a";"n/a";"n/a"
6;7;"F7";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,3377086122;0;"n/a";"n/a";"n/a"
7;7;"G7";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,3237348745;0;"n/a";"n/a";"n/a"
8;7;"H7";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
1;8;"A8";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
2;8;"B8";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6019008570;0;"n/a";"n/a";"n/a"
3;8;"C8";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,5336961129;0;"n/a";"n/a";"n/a"
4;8;"D8";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,4693526318;0;"n/a";"n/a";"n/a"
5;8;"E8";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,4385058540;0;"n/a";"n/a";"n/a"
6;8;"F8";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,4649565489;0;"n/a";"n/a";"n/a"
7;8;"G8";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,3949668561;0;"n/a";"n/a";"n/a"
8;8;"H8";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
1;9;"A9";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
2;9;"B9";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6466259146;0;"n/a";"n/a";"n/a"
3;9;"C9";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6938652820;0;"n/a";"n/a";"n/a"
4;9;"D9";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,7437422148;0;"n/a";"n/a";"n/a"
5;9;"E9";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,3405936029;0;"n/a";"n/a";"n/a"
6;9;"F9";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,3326324994;0;"n/a";"n/a";"n/a"
7;9;"G9";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,3387759379;0;"n/a";"n/a";"n/a"
8;9;"H9";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
1;10;"A10";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
2;10;"B10";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,4836627856;0;"n/a";"n/a";"n/a"
3;10;"C10";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,4827163784;0;"n/a";"n/a";"n/a"
4;10;"D10";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6584356933;0;"n/a";"n/a";"n/a"
5;10;"E10";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6430693601;0;"n/a";"n/a";"n/a"
6;10;"F10";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,6502771182;0;"n/a";"n/a";"n/a"
7;10;"G10";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,5288394186;0;"n/a";"n/a";"n/a"
8;10;"H10";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
1;11;"A11";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
2;11;"B11";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,7690923340;0;"n/a";"n/a";"n/a"
3;11;"C11";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,7722331792;0;"n/a";"n/a";"n/a"
4;11;"D11";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,7140968974;0;"n/a";"n/a";"n/a"
5;11;"E11";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,3122284715;0;"n/a";"n/a";"n/a"
6;11;"F11";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,2976784464;0;"n/a";"n/a";"n/a"
7;11;"G11";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,2832714330;0;"n/a";"n/a";"n/a"
8;11;"H11";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
1;12;"A12";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
2;12;"B12";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,2804056078;0;"n/a";"n/a";"n/a"
3;12;"C12";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,2821709174;0;"n/a";"n/a";"n/a"
4;12;"D12";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,2940910950;0;"n/a";"n/a";"n/a"
5;12;"E12";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,2591373800;0;"n/a";"n/a";"n/a"
6;12;"F12";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,2364048882;0;"n/a";"n/a";"n/a"
7;12;"G12";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";1;"Lebend";0,2384713902;0;"n/a";"n/a";"n/a"
8;12;"H12";1;"";"";"";"";"";"FluoReaderTestDll.dll";"FluoReader_BiofilmLebend_GlobalWellIntensity_GreinerPlastikPlatte_1,25x.ffstc";0
